Un.,Código,Descrição
Un,497101,CINTA FREIO - EIXO TRAS F4CC
Un,289231,ROLAMENTO 32207 SPZ/ZWZ/GBR/1ª L
Un,257086,"PARAF ALLEN C/ CAB 1/4 X 5/8"" UNF (NÃO USAR, SUBSTITUÍDO.)"
KG,318421,TINTA PÓ 26 LI VERDE W 51601 BR
Un,292242,"TAMPAO PVC 2"""
Un,240491,MACACO MOD. RAL-329 DIST. CALCÁRIO
Un,900034,PRISIONEIRO [CBHL6000 MP]
Un,900036,COMPLEMENTO INFERIOR ABA LATERAL [CBHL6000 MP]
Un,900037,COMPLEMENTO ABA LATERAL [CBHL6000 MP]
Un,240654,KIT REPARO CIL. COMPL. CBHM/CBH CÓD.4403-01 (240474) COMP. A
Un,240655,KIT REPARO CIL. COMPL. CBHM/CBH CÓD.4403-01 (240474) COMP. B
L,318428,DILUENTE 400 P/ PU
KG,134491,"TUBO SCHEDULLE 40 - 2.1/2"""
Un,213848,"CORREIA ABERTA 2L 1/8"" X 1/16"" - 3470MM X 300MM"
Un,256146,PARAFUSO FRANCES 3/8 X 1.1/2 UNC
Un,116629,COMP. NAVAL FILM 2L 3070 X 600 X 20MM
KG,120509,"CHAPA GQ 3/4 (19,0) 1010"
L,318504,ESM. SINT. VERDE J. DEERE
Un,214107,RODA 6 FUROS ARO 13 RB-2721/13502S
Un,034583,ROLO MOTOR [MCF M23]
KG,120204,BOBINA CHAPA 3.35 x 1350 LN 500
Un,289218,ROLAMENTO REF 51104 - 2ª. LINHA
KG,134339,TUBO MECANICO 63 X 33 ST-52
Un,258910,PARAF SEX 3/4 X 3 UNC ZB
KG,497885,FITA MET.P/EMB. - 1mm X 1''
KG,314626,ELETRODO 1/8 E 7018
Un,222264,PINO DE PRESSAO 6 X32
Un,240485IMP,CIL. COMPL. CBHM / 6000 6TON
KG,497897,"SELO DE AÇO POLIDO TR 25X60X0,90"
Un,443360,PINO ALAV/COMANDO - FREIO CAR
Un,496819,TUBO ESC 1.1/2 GALV TANQUE
Un,259883,"PARAF SEX 5/8 X 2.1/2"" UNF G-8 (10.9) ZB"
Un,034576,PINO INFERIOR HASTE DE FIXAÇÃO [MCF M23]
Un,034577,PINO SUPERIOR HASTE DE FIXAÇÃO [MCF M23]
Un,034589,EIXO [ROLO MOVIDO - MCF M23]
